favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
7,Twitter Web Client,This is good : DUP and Conservatives have very similar Brexit positions but DUP do not use the 'no deal is better t… https://t.co/GB5u8bMRZL,,False,Fri Jun 09 15:09:46 +0000 2017,11,873195424009641984
0,Twitter for iPad,More consolidation in materials handling https://t.co/VHH9L1CqKI,,False,Thu Jul 21 07:33:48 +0000 2016,0,756029392481030145
0,Twitter for iPhone,"@bbclaurak Warrenpoint harbour where the chancellor was smells of wood, wheat &amp; compost",bbclaurak,False,Mon Jun 06 09:27:09 +0000 2016,0,739750467069222912
0,Twitter for iPhone,"The Games was a work of genius. Great writing, bone dry delivery. https://t.co/E4UsFa0Jn4",,False,Mon Apr 10 12:29:49 +0000 2017,0,851411898377674752
23,Twitter for iPad,From what I've seen Top Cat is likely to be a high risk borrower. I'm sceptical about any proof-of-income he could have shown the Halifax.,,False,Sun Apr 24 18:58:33 +0000 2016,10,724311584940675073
0,Twitter for iPhone,Serious point on @ONS family spending survey. NI people are among the highest spenders on staples like food &amp; fuel but is low wage region.,,False,Tue Dec 02 17:20:08 +0000 2014,2,539831393552171009
0,Twitter Web Client,'Imperative that we do not allow the negotiations to become bogged down on this issue and unduly delay progression to the second phase.',JP_Biz,False,Thu Apr 20 12:04:33 +0000 2017,3,855029416816238592
0,Twitter Web Client,"@Ronaldinhio Competition Commissioner says good thing, means some competition on London/ Belfast http://t.co/Nob1PkVMaX",Ronaldinhio,False,Wed Jul 15 07:46:44 +0000 2015,0,621224360725073920
5,Twitter Web Client,@AllieRenison Not necessarily. Mary Lou McDonald has been talking recently about the possibility Stormont of being… https://t.co/D7mTTxJCOY,AllieRenison,False,Wed Apr 11 16:26:21 +0000 2018,0,984105383101960192
3,Twitter Web Client,Thinks wide-ranging trade deal will be enough to solve the border. Decries Irish government's approach as 'very aggressive.',JP_Biz,False,Tue Mar 20 18:54:43 +0000 2018,4,976170186888876033
0,Twitter for iPhone,"Another good set of monthly tax returns in Dublin means the Oct budget will be much less austere than planned. Will still be austere, mind.",,False,Tue Sep 02 15:42:04 +0000 2014,0,506829419575787520
