favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
9,Twitter for Android,"Another big deal for Newry-based @statsports, this time with the Chinese Football Association (CFA). 
China has dir… https://t.co/qo5mXHd6zf",,False,Mon Nov 05 08:00:03 +0000 2018,6,1059354645037023232
4,Twitter for Android,Strange one this. AFAIK there is/was no cash machine anywhere near entrance to St Lucia. https://t.co/BdUi4KXnuI,,False,Mon Sep 19 10:45:11 +0000 2016,3,777820827253366784
5,Twitter for Android,The big question before today was: What would Tyrone be capable of if they got the attack right? Donegal have found out today. #Ulster2017,,False,Sun Jun 18 14:31:21 +0000 2017,3,876447246426021888
0,Twitter for Android,Sneak peak at the 'Humans' episode of #planetearth2 https://t.co/4NXP8miFOW,,False,Sun Nov 20 21:02:03 +0000 2016,0,800444114382688256
0,Twitter Web Client,'They might feel not represented by UK Parliament but they must feel they are represented by you in this chamber be… https://t.co/FfHK4SQczG,RyanMcAleerbiz,False,Wed Mar 27 08:24:16 +0000 2019,1,1110819814363353088
1,Twitter for Android,This past week has played out like a Shakespearean tragedy directed by Michael Bay. #Brexit (NSFW via @LovinDublin) https://t.co/ZmgGgHjNyB,,False,Thu Jun 30 11:44:45 +0000 2016,1,748482402209701888
0,Twitter for Android,@Ryan_SmithFH @CateMcCurry Darren Clarke and the A4. Just sayin.,Ryan_Smith94,False,Thu Dec 18 16:27:19 +0000 2014,0,545616308688400385
13,Twitter for Android,Looking well February. https://t.co/SDRAX8TCjD,,False,Tue Feb 26 14:53:29 +0000 2019,0,1100408517830176769
6,Twitter for Android,Solidarity with all hungover dads this morning. The struggle is real.  #HappyFathersDay https://t.co/vfM0I1pnV1,,False,Sun Jun 19 09:26:09 +0000 2016,0,744461257659531265
1,Twitter Web Client,"Pipe bombs have claimed 2 lives since 1969. According to Sutton index, both victims were teenage UDA members killed handling the devices.",,False,Thu Oct 31 11:37:41 +0000 2013,2,395877230733062144
0,Twitter Web Client,"""I'll be wearing the beard, hooked-hand and the long shirt he usually wears.""- Willie is definitely going to look like a pirate.",,False,Tue Sep 17 12:46:11 +0000 2013,0,379949402443358208
1,Twitter for Android,Fine Gael in talks with Mayo GAA star Alan Dillon about surprise election bid. Scoop by @edmcgreal  https://t.co/ju7qfBgG8t,,False,Thu Nov 30 22:34:50 +0000 2017,1,936362914398789632
1,Twitter for Android,"""West Tyrone is a republican constituency."" - @PatDohertyMP #WTY15 #GE2015 http://t.co/PI4ZUVLqOJ",,False,Fri May 08 00:47:02 +0000 2015,2,596476365920174080
22,Twitter for Android,Both @BarryMcElduff and @MichaelaBoyleSF have reached the quota in West Tyrone. SF have taken in excess of 20K 1st prefs in WT. Huge vote.,,False,Fri Mar 03 14:09:33 +0000 2017,16,837666258724261888
0,Twitter for Android,Breaking: A5 closed outside Omagh (Ballygawley side) after serious RTC. 3 ambulances at the scene. Diversions in place.,,False,Tue Aug 06 12:36:31 +0000 2013,1,364726678414557184
1,Twitter for Android,.@PatDohertySF @JoeByrneMLA '@Ulster_Herald coverage from this week 20 years ago. McGuinness celebrates Mid Ulster… https://t.co/LRLp6AK7lu,RyanMcAleerbiz,False,Thu May 04 22:39:33 +0000 2017,3,860262648826482692
0,Twitter for Android,"Wind turbine manufacturer Nordex say they are still investigating the collapse at Screggagh, but believe they have identified the cause.",,False,Thu Jan 08 16:28:58 +0000 2015,1,553226866891689987
